,lokasi,harga,kamar,luas_bangunan,luas_lahan,longitude,latitude
809,Banyumanik,270000000.0,2,50,84,110.42012735052951,-7.06802325
810,Tembalang,925000000.0,4,128,128,110.45952907126915,-7.04583375
813,Banyumanik,321800000.0,2,42,64,110.42012735052951,-7.06802325
814,Banyumanik,925000000.0,4,200,184,110.42012735052951,-7.06802325
816,Banyumanik,600000000.0,2,50,90,110.42012735052951,-7.06802325
818,Brumbungan,1000000000.0,3,97,97,110.42594840000002,-6.9828863
820,Banyumanik,750000000.0,3,108,108,110.42012735052951,-7.06802325
821,Puri,950000000.0,3,125,135,110.38619879999999,-6.970017299999999
822,Pudakpayung,575000000.0,2,48,72,110.4096871,-7.094523
823,Pedurungan,329000000.0,2,40,60,110.47735690000002,-7.0176717
824,KembangSari,750000000.0,2,72,72,110.4189596,-6.978327900000001
825,Pedurungan,470000000.0,2,45,90,110.4738378,-7.0027211
827,Banyumanik,875000000.0,3,70,160,110.42012735052951,-7.06802325
828,Pedurungan,425000000.0,2,45,90,110.4738378,-7.0027211
829,Banyumanik,378500000.0,2,45,72,110.42012735052951,-7.06802325
830,Sendangmulyo,768000000.0,3,75,112,110.4749403,-7.0405218
831,Banyumanik,680000000.0,3,63,84,110.42012735052951,-7.06802325
832,Kalicari,1200000000.0,4,176,176,110.45616740000001,-6.9947557
833,Kembangarum,800000000.0,2,87,87,110.3743815,-6.9959484
834,Jatingaleh,775000000.0,2,45,100,110.423676,-7.0255334000000005
835,Candisari,2700000000.0,3,150,220,110.4308380541579,-7.01431585
836,Meteseh,402000000.0,2,45,100,110.46683,-7.0627334
839,Tembalang,570000000.0,2,40,62,110.45952907126915,-7.04583375
840,Banyumanik,2500000000.0,4,160,170,110.42012735052951,-7.06802325
